epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,29567.1,0.42632,0.42657,0.07751,0.64216,0.63584,0.65097,0.44306,0.63491,0.64353,0.20859,0.000207655,0.000207655,0.000207655
43,30266.6,0.40385,0.43081,0.073,0.65945,0.61276,0.63293,0.41973,0.64637,0.62072,0.23885,0.00020111,0.00020111,0.00020111
44,30966.6,0.41021,0.42085,0.07211,0.58239,0.6725,0.652,0.43864,0.63201,0.61072,0.24378,0.000194565,0.000194565,0.000194565
45,31666.6,0.42052,0.42391,0.07396,0.6199,0.6386,0.65192,0.4429,0.63008,0.61536,0.2265,0.00018802,0.00018802,0.00018802
46,32369.5,0.41175,0.42528,0.0749,0.66122,0.64194,0.6498,0.44287,0.63369,0.63528,0.22288,0.000181475,0.000181475,0.000181475
47,33074.1,0.4106,0.41661,0.07509,0.6755,0.65075,0.6482,0.42548,0.60434,0.64552,0.19858,0.00017493,0.00017493,0.00017493
48,33776.7,0.40982,0.41069,0.07197,0.64134,0.62905,0.6439,0.42107,0.61443,0.63426,0.23032,0.000168385,0.000168385,0.000168385
49,34481.8,0.39804,0.40739,0.06807,0.65689,0.63123,0.66776,0.4525,0.62595,0.59654,0.23029,0.00016184,0.00016184,0.00016184
50,35186.4,0.38298,0.41266,0.06991,0.66247,0.6639,0.66822,0.45458,0.62649,0.59855,0.21863,0.000155295,0.000155295,0.000155295
51,35890.4,0.37638,0.39762,0.06991,0.66824,0.65779,0.676,0.46226,0.59881,0.61574,0.21563,0.00014875,0.00014875,0.00014875
52,36594.7,0.39114,0.38911,0.073,0.70995,0.5762,0.64611,0.43983,0.62697,0.62742,0.2314,0.000142205,0.000142205,0.000142205
53,37297.6,0.38336,0.39343,0.06625,0.65892,0.63047,0.65038,0.4282,0.6368,0.62156,0.22483,0.00013566,0.00013566,0.00013566
54,38001.7,0.37689,0.38732,0.06432,0.64239,0.65418,0.66215,0.4378,0.62599,0.61508,0.26337,0.000129115,0.000129115,0.000129115
55,38706.2,0.36744,0.38655,0.06663,0.6664,0.59744,0.63232,0.42874,0.64659,0.602,0.2555,0.00012257,0.00012257,0.00012257
56,39411,0.36204,0.38824,0.06054,0.61845,0.65499,0.65009,0.42816,0.62304,0.61926,0.24753,0.000116025,0.000116025,0.000116025
57,40116.7,0.33987,0.3823,0.06331,0.60871,0.64184,0.62975,0.41497,0.64717,0.60236,0.26512,0.00010948,0.00010948,0.00010948
58,40819.8,0.35746,0.3802,0.0635,0.66043,0.63886,0.6412,0.41842,0.65159,0.59386,0.25146,0.000102935,0.000102935,0.000102935
59,41525.3,0.35414,0.36882,0.06212,0.63296,0.66804,0.64479,0.42285,0.62192,0.60615,0.22019,9.639e-05,9.639e-05,9.639e-05
60,42229.6,0.34157,0.36973,0.06117,0.64151,0.61514,0.6289,0.42473,0.61536,0.59749,0.24223,8.9845e-05,8.9845e-05,8.9845e-05
61,42938.3,0.34026,0.37004,0.06273,0.62745,0.62007,0.63227,0.42369,0.62966,0.60251,0.25759,8.33e-05,8.33e-05,8.33e-05
