epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1595.24,1.55148,1.76704,0.01148,0.50889,0.51155,0.51036,0.32272,1.81536,2.10661,0.01507,0.000379396,0.000379396,0.000379396
43,1631.05,1.57155,1.74877,0.01115,0.48981,0.53034,0.52816,0.33695,1.77847,2.11713,0.015,0.00037704,0.00037704,0.00037704
44,1668.98,1.55403,1.74647,0.01094,0.52934,0.54894,0.563,0.36172,1.83908,2.13752,0.01549,0.000374683,0.000374683,0.000374683
45,1705.73,1.53691,1.79466,0.01133,0.48998,0.56255,0.54156,0.32903,1.85067,2.13165,0.01547,0.000372327,0.000372327,0.000372327
46,1741.92,1.54837,1.68615,0.01043,0.56549,0.5266,0.53481,0.34697,1.83212,2.06354,0.01529,0.000369971,0.000369971,0.000369971
47,1778.46,1.52918,1.67185,0.01036,0.46602,0.46383,0.49702,0.328,1.81104,2.14497,0.01584,0.000367615,0.000367615,0.000367615
48,1814.63,1.48386,1.6334,0.01057,0.51539,0.54049,0.54249,0.34062,1.79165,2.10121,0.01609,0.000365259,0.000365259,0.000365259
49,1850.37,1.56157,1.66438,0.01098,0.56087,0.52459,0.54181,0.36344,1.78793,1.96007,0.01529,0.000362902,0.000362902,0.000362902
50,1886.32,1.52344,1.61011,0.01068,0.55578,0.56026,0.55072,0.35502,1.83119,2.03166,0.01609,0.000360546,0.000360546,0.000360546
51,1922.25,1.53704,1.61784,0.01087,0.54579,0.50614,0.52308,0.35525,1.79303,2.13716,0.01472,0.00035819,0.00035819,0.00035819
52,1958.23,1.53339,1.58886,0.01032,0.45935,0.54923,0.52327,0.33833,1.80156,2.06669,0.01578,0.000355834,0.000355834,0.000355834
53,1994.49,1.44528,1.55075,0.01049,0.62739,0.50267,0.54667,0.34189,1.83007,2.17336,0.01564,0.000353478,0.000353478,0.000353478
54,2030.35,1.5085,1.61276,0.01033,0.5244,0.50529,0.54601,0.36283,1.76604,2.09403,0.01397,0.000351121,0.000351121,0.000351121
55,2066.27,1.53343,1.57387,0.01023,0.67702,0.51337,0.54883,0.36807,1.80073,2.10787,0.01471,0.000348765,0.000348765,0.000348765
56,2102.05,1.51557,1.58755,0.01065,0.4989,0.54791,0.51433,0.32705,1.80768,2.10881,0.01479,0.000346409,0.000346409,0.000346409
57,2137.58,1.45376,1.56081,0.01033,0.74081,0.48517,0.57004,0.35175,1.8144,2.00294,0.01471,0.000344053,0.000344053,0.000344053
58,2173.37,1.47149,1.49418,0.01038,0.58467,0.52058,0.54161,0.3593,1.81911,2.15898,0.01583,0.000341697,0.000341697,0.000341697
59,2209.24,1.49586,1.58028,0.0103,0.51571,0.58908,0.55429,0.34378,1.81607,1.95435,0.01489,0.00033934,0.00033934,0.00033934
60,2244.33,1.47156,1.49944,0.0102,0.59488,0.53819,0.56077,0.36773,1.73176,2.06021,0.01413,0.000336984,0.000336984,0.000336984
61,2280.8,1.46545,1.47454,0.00954,0.50629,0.55714,0.55597,0.36004,1.75932,2.06312,0.01475,0.000334628,0.000334628,0.000334628
62,2316.92,1.48542,1.51903,0.01016,0.53351,0.54611,0.5576,0.35336,1.72925,2.08956,0.01453,0.000332272,0.000332272,0.000332272
63,2352.87,1.50175,1.52585,0.00986,0.4677,0.56246,0.54589,0.35048,1.83912,2.16461,0.01721,0.000329916,0.000329916,0.000329916
64,2388.6,1.45957,1.44596,0.01002,0.56138,0.55766,0.55111,0.35908,1.81657,2.03405,0.01447,0.000327559,0.000327559,0.000327559
65,2424.58,1.46578,1.49877,0.00975,0.64346,0.54124,0.56899,0.37946,1.76054,1.9867,0.01377,0.000325203,0.000325203,0.000325203
66,2460.43,1.46305,1.44769,0.00932,0.58557,0.58173,0.58348,0.36843,1.79426,2.0116,0.01437,0.000322847,0.000322847,0.000322847
67,2495.96,1.44391,1.37436,0.00918,0.66643,0.55857,0.56216,0.37201,1.73174,1.97334,0.0134,0.000320491,0.000320491,0.000320491
68,2532.66,1.40569,1.41597,0.00967,0.60991,0.54463,0.56788,0.37821,1.80662,1.98098,0.01404,0.000318135,0.000318135,0.000318135
69,2568.58,1.46474,1.40031,0.00929,0.62637,0.55692,0.57555,0.37195,1.75464,2.01025,0.01376,0.000315778,0.000315778,0.000315778
70,2604.8,1.43641,1.37542,0.00972,0.60122,0.51418,0.53622,0.35777,1.82255,2.1138,0.01413,0.000313422,0.000313422,0.000313422
71,2638.79,1.40995,1.35252,0.0094,0.62787,0.55977,0.57783,0.364,1.81911,2.08812,0.01435,0.000311066,0.000311066,0.000311066
72,2676.3,1.41557,1.35043,0.00954,0.57891,0.5235,0.56775,0.38077,1.75919,2.04366,0.01381,0.00030871,0.00030871,0.00030871
73,2712.52,1.43596,1.35813,0.00953,0.61941,0.55867,0.57196,0.37163,1.83559,2.02459,0.0149,0.000306354,0.000306354,0.000306354
