epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1505.42,1.56294,1.78793,0.01133,0.44144,0.48946,0.5011,0.30317,1.85794,2.24685,0.01697,0.000428802,0.000428802,0.000428802
43,1541.33,1.5527,1.76578,0.01087,0.45818,0.50042,0.46558,0.30759,1.78241,2.3598,0.01601,0.000426556,0.000426556,0.000426556
44,1577.11,1.55092,1.75598,0.01084,0.45698,0.5245,0.45502,0.28384,1.84327,2.22572,0.01585,0.000424265,0.000424265,0.000424265
45,1613.03,1.54283,1.8493,0.0114,0.46564,0.51318,0.50081,0.30355,1.81877,2.13924,0.01504,0.000421928,0.000421928,0.000421928
46,1647.98,1.52523,1.7222,0.01018,0.57031,0.51322,0.53638,0.33475,1.84303,2.08521,0.01642,0.000419547,0.000419547,0.000419547
47,1684.29,1.52821,1.71117,0.01045,0.43864,0.48712,0.50542,0.3235,1.78333,2.12696,0.01493,0.000417121,0.000417121,0.000417121
48,1720.21,1.46038,1.67982,0.01045,0.5639,0.4969,0.5214,0.32523,1.78372,2.02679,0.01498,0.000414652,0.000414652,0.000414652
49,1756.25,1.53194,1.7229,0.01058,0.49241,0.52212,0.51985,0.33188,1.80088,2.09769,0.01574,0.00041214,0.00041214,0.00041214
50,1791.87,1.516,1.68288,0.01049,0.55161,0.49459,0.51875,0.33105,1.7979,2.10375,0.01465,0.000409585,0.000409585,0.000409585
51,1827.4,1.49472,1.66317,0.01049,0.50789,0.53188,0.53517,0.35592,1.78477,2.05584,0.01445,0.000406988,0.000406988,0.000406988
52,1862.29,1.52017,1.62497,0.01031,0.59357,0.48704,0.53558,0.33394,1.77921,2.09044,0.01521,0.000404351,0.000404351,0.000404351
53,1898.86,1.44417,1.5887,0.01074,0.50256,0.51305,0.50865,0.31358,1.85141,2.13025,0.01567,0.000401673,0.000401673,0.000401673
54,1934.7,1.52573,1.67247,0.01073,0.57169,0.48034,0.49309,0.33306,1.78855,2.24755,0.015,0.000398955,0.000398955,0.000398955
55,1969.95,1.51836,1.62593,0.01034,0.54432,0.57497,0.56302,0.37174,1.7335,2.02544,0.0148,0.000396198,0.000396198,0.000396198
56,2005.33,1.4857,1.6787,0.01043,0.55502,0.54881,0.56177,0.36354,1.76355,2.04053,0.01477,0.000393403,0.000393403,0.000393403
57,2040.98,1.4421,1.57528,0.01016,0.49547,0.54045,0.54617,0.34092,1.84044,2.02729,0.01539,0.00039057,0.00039057,0.00039057
58,2076.84,1.46712,1.54759,0.01028,0.56596,0.53742,0.57296,0.36885,1.78888,1.96252,0.01498,0.0003877,0.0003877,0.0003877
59,2112.55,1.49033,1.60154,0.01037,0.45748,0.53435,0.4995,0.32619,1.81321,2.13353,0.0149,0.000384793,0.000384793,0.000384793
60,2147.74,1.44641,1.57573,0.00989,0.52235,0.5579,0.56249,0.36999,1.74915,1.97188,0.01469,0.000381851,0.000381851,0.000381851
61,2183.88,1.46903,1.51458,0.00957,0.52611,0.53403,0.55979,0.36126,1.81593,2.15689,0.01618,0.000378874,0.000378874,0.000378874
62,2219.11,1.4732,1.57777,0.01012,0.60601,0.48494,0.53146,0.32929,1.7996,2.15988,0.01528,0.000375863,0.000375863,0.000375863
63,2255.01,1.49815,1.57653,0.01003,0.50561,0.54375,0.52733,0.33412,1.86613,2.14924,0.01658,0.000372818,0.000372818,0.000372818
64,2290.7,1.4478,1.50822,0.0098,0.58315,0.48264,0.52995,0.34443,1.78639,2.10487,0.01506,0.000369741,0.000369741,0.000369741
65,2326.35,1.47408,1.52725,0.01007,0.50611,0.5602,0.55124,0.34103,1.82172,2.12295,0.01541,0.000366632,0.000366632,0.000366632
66,2362.26,1.45252,1.48922,0.00939,0.52185,0.57585,0.56748,0.36744,1.77547,2.02418,0.01444,0.000363491,0.000363491,0.000363491
67,2397.55,1.42787,1.43611,0.00931,0.61276,0.53891,0.57357,0.36302,1.79125,2.09185,0.01387,0.00036032,0.00036032,0.00036032
68,2433,1.41098,1.48887,0.00966,0.55539,0.53449,0.57084,0.34386,1.84645,2.05026,0.01513,0.00035712,0.00035712,0.00035712
69,2468.57,1.47479,1.48896,0.00953,0.58432,0.58718,0.59621,0.37391,1.85256,1.89245,0.01555,0.000353891,0.000353891,0.000353891
70,2504.14,1.40689,1.42075,0.00952,0.67242,0.51599,0.55716,0.37118,1.78581,2.05473,0.01468,0.000350634,0.000350634,0.000350634
71,2539.99,1.4148,1.39832,0.00932,0.51616,0.53725,0.57117,0.37837,1.73377,2.06902,0.01476,0.000347349,0.000347349,0.000347349
72,2575.95,1.43524,1.39259,0.00991,0.57395,0.54858,0.5601,0.35252,1.80027,2.05292,0.01506,0.000344038,0.000344038,0.000344038
73,2611.4,1.44615,1.40807,0.0098,0.52803,0.50688,0.53311,0.33869,1.7966,2.21146,0.01473,0.000340702,0.000340702,0.000340702
74,2646.09,1.40995,1.42185,0.00964,0.65292,0.51328,0.56125,0.35915,1.77825,2.05518,0.01417,0.000337341,0.000337341,0.000337341
75,2682.75,1.44509,1.43595,0.00927,0.65771,0.50407,0.56302,0.35152,1.83999,2.1003,0.01473,0.000333956,0.000333956,0.000333956
76,2718.54,1.45118,1.40311,0.00906,0.59274,0.508,0.53553,0.33592,1.82601,2.12328,0.01429,0.000330548,0.000330548,0.000330548
77,2753.7,1.42834,1.3854,0.00897,0.57925,0.53328,0.55158,0.36038,1.84455,2.09949,0.0145,0.000327118,0.000327118,0.000327118
78,2789.35,1.39778,1.38373,0.00935,0.49683,0.52931,0.55079,0.36196,1.77855,2.05952,0.01384,0.000323666,0.000323666,0.000323666
79,2825.22,1.38437,1.33022,0.00905,0.5674,0.53129,0.54798,0.35684,1.72481,2.04689,0.01317,0.000320193,0.000320193,0.000320193
80,2860.53,1.37418,1.3308,0.00924,0.65879,0.46468,0.56015,0.34766,1.84143,2.1973,0.01449,0.000316701,0.000316701,0.000316701
81,2896.31,1.43907,1.35034,0.0093,0.52568,0.50254,0.53424,0.35381,1.7866,2.22628,0.01355,0.000313191,0.000313191,0.000313191
82,2932.22,1.39419,1.3226,0.00889,0.54654,0.54148,0.52634,0.35668,1.77653,2.10613,0.01363,0.000309662,0.000309662,0.000309662
83,2967.19,1.39128,1.34407,0.00918,0.69,0.46798,0.53485,0.35895,1.80882,2.16814,0.01421,0.000306116,0.000306116,0.000306116
84,3003.19,1.36731,1.2609,0.00936,0.55629,0.54823,0.54728,0.36252,1.80907,2.1818,0.01418,0.000302554,0.000302554,0.000302554
85,3039.07,1.37246,1.32743,0.00884,0.54082,0.54898,0.57538,0.3739,1.75461,2.10813,0.01427,0.000298976,0.000298976,0.000298976
86,3075.61,1.36347,1.25969,0.00902,0.65072,0.55545,0.59365,0.38845,1.78592,2.04878,0.01408,0.000295384,0.000295384,0.000295384
87,3111.39,1.38289,1.27788,0.00899,0.65911,0.54136,0.57683,0.39162,1.72823,2.02952,0.01309,0.000291779,0.000291779,0.000291779
88,3146.5,1.34225,1.24009,0.0084,0.77646,0.48589,0.57873,0.37807,1.81421,2.10961,0.01426,0.000288161,0.000288161,0.000288161
89,3182.47,1.37001,1.23462,0.00879,0.58082,0.53786,0.55926,0.37288,1.76744,2.12223,0.01309,0.000284531,0.000284531,0.000284531
90,3218.09,1.34,1.269,0.00868,0.52398,0.55463,0.55622,0.38261,1.7643,2.08632,0.01351,0.00028089,0.00028089,0.00028089
91,3253.89,1.3652,1.20982,0.00872,0.55178,0.58681,0.57763,0.37603,1.79615,2.12774,0.01352,0.000277239,0.000277239,0.000277239
