epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1598.3,1.49677,1.75339,0.01052,0.58055,0.42716,0.43504,0.28257,1.78796,2.24494,0.01512,0.000282792,0.000282792,0.000282792
43,1635.57,1.51393,1.70548,0.01046,0.5517,0.46996,0.456,0.28077,1.82641,2.27646,0.01605,0.000278079,0.000278079,0.000278079
44,1675.44,1.51906,1.70869,0.01027,0.50892,0.46713,0.44359,0.28442,1.77626,2.16025,0.01531,0.000273367,0.000273367,0.000273367
45,1720.42,1.49822,1.68043,0.0101,0.5563,0.45515,0.45608,0.28846,1.7825,2.18336,0.01464,0.000268654,0.000268654,0.000268654
46,1761.91,1.48124,1.67914,0.01024,0.47236,0.43848,0.43371,0.26995,1.81698,2.27625,0.01716,0.000263942,0.000263942,0.000263942
47,1802.34,1.44186,1.61138,0.00978,0.52644,0.46984,0.47,0.3057,1.76108,2.13739,0.01484,0.00025923,0.00025923,0.00025923
48,1846.49,1.44176,1.55335,0.00982,0.5288,0.44933,0.45984,0.29237,1.78714,2.18199,0.01629,0.000254517,0.000254517,0.000254517
49,1883.85,1.44578,1.55701,0.0095,0.61115,0.4123,0.46909,0.28645,1.80882,2.15638,0.01652,0.000249805,0.000249805,0.000249805
50,1921.48,1.42593,1.56641,0.01,0.48823,0.49227,0.47167,0.29915,1.74251,2.2087,0.01449,0.000245092,0.000245092,0.000245092
51,1958.59,1.4439,1.5939,0.00988,0.5463,0.49211,0.48188,0.30032,1.76933,2.19795,0.01494,0.00024038,0.00024038,0.00024038
52,1995.96,1.46955,1.5409,0.00975,0.61826,0.47365,0.50392,0.32295,1.74542,2.0896,0.01426,0.000235668,0.000235668,0.000235668
53,2033.74,1.43344,1.49715,0.00916,0.5844,0.49932,0.51037,0.32987,1.73843,2.07192,0.01464,0.000230955,0.000230955,0.000230955
54,2071.19,1.42206,1.48045,0.00942,0.49081,0.50687,0.4859,0.30715,1.75818,2.14428,0.01492,0.000226243,0.000226243,0.000226243
55,2109.31,1.43709,1.45048,0.00884,0.52744,0.5226,0.50057,0.31774,1.73063,2.06153,0.01459,0.00022153,0.00022153,0.00022153
56,2146.01,1.38289,1.43697,0.00921,0.5644,0.4504,0.47186,0.29331,1.7883,2.17019,0.01614,0.000216818,0.000216818,0.000216818
57,2183.7,1.43559,1.47208,0.01002,0.48273,0.48099,0.45953,0.29276,1.7698,2.14178,0.01514,0.000212106,0.000212106,0.000212106
58,2221.44,1.39834,1.42847,0.00899,0.53733,0.48702,0.4667,0.29573,1.7718,2.12334,0.01513,0.000207393,0.000207393,0.000207393
59,2258.28,1.38516,1.41342,0.00892,0.48525,0.50267,0.48564,0.30436,1.82166,2.13332,0.01566,0.000202681,0.000202681,0.000202681
60,2295.67,1.39635,1.42971,0.00938,0.59322,0.49459,0.50613,0.31835,1.75329,2.03347,0.01392,0.000197968,0.000197968,0.000197968
61,2334.61,1.41918,1.40717,0.00905,0.57502,0.48927,0.49323,0.3067,1.82078,2.11879,0.01483,0.000193256,0.000193256,0.000193256
62,2371.88,1.33468,1.31878,0.009,0.62311,0.47226,0.51623,0.33038,1.78916,2.07764,0.01446,0.000188544,0.000188544,0.000188544
63,2410.21,1.37109,1.33589,0.00872,0.523,0.53434,0.52214,0.32453,1.77112,2.04981,0.01533,0.000183831,0.000183831,0.000183831
