epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1389.47,1.46771,2.09905,0.01063,0.52586,0.43257,0.44342,0.29451,1.6967,2.42156,0.01499,0.000282792,0.000282792,0.000282792
43,1421.86,1.47706,2.08621,0.01035,0.42583,0.44407,0.42295,0.28972,1.62976,2.36129,0.01344,0.000278079,0.000278079,0.000278079
44,1455.15,1.48308,2.03381,0.01061,0.42635,0.45958,0.43249,0.2865,1.69902,2.31314,0.01336,0.000273367,0.000273367,0.000273367
45,1486.99,1.47921,2.13852,0.01082,0.52214,0.46778,0.45298,0.29446,1.6497,2.38378,0.01396,0.000268654,0.000268654,0.000268654
46,1520.9,1.46111,2.06343,0.00962,0.47749,0.45164,0.44204,0.29595,1.656,2.27592,0.01373,0.000263942,0.000263942,0.000263942
47,1553.45,1.45129,1.99271,0.00974,0.55239,0.40678,0.46573,0.30297,1.66307,2.34167,0.01418,0.00025923,0.00025923,0.00025923
48,1586.72,1.4197,1.95143,0.01012,0.58843,0.42891,0.47128,0.31336,1.69081,2.28912,0.01358,0.000254517,0.000254517,0.000254517
49,1619.05,1.46919,1.98027,0.01008,0.50525,0.47795,0.4685,0.31016,1.69796,2.34026,0.01454,0.000249805,0.000249805,0.000249805
50,1651.48,1.44443,1.93892,0.01002,0.56217,0.41801,0.48561,0.31826,1.69623,2.32025,0.01376,0.000245092,0.000245092,0.000245092
51,1682.89,1.44418,1.93631,0.01015,0.55634,0.45417,0.48505,0.32448,1.66333,2.26306,0.01325,0.00024038,0.00024038,0.00024038
52,1716.32,1.45786,1.91368,0.00992,0.48157,0.46034,0.46878,0.31813,1.61769,2.32472,0.01345,0.000235668,0.000235668,0.000235668
53,1749.48,1.38381,1.88642,0.00978,0.57391,0.45649,0.48811,0.31744,1.65202,2.29822,0.01297,0.000230955,0.000230955,0.000230955
54,1781.96,1.43846,1.92794,0.0098,0.64188,0.40581,0.4834,0.33759,1.63982,2.23657,0.01353,0.000226243,0.000226243,0.000226243
55,1814.67,1.45231,1.86335,0.00981,0.50396,0.51073,0.49447,0.32393,1.63645,2.24336,0.01285,0.00022153,0.00022153,0.00022153
56,1847.62,1.42671,1.89674,0.00987,0.55949,0.44578,0.48286,0.32863,1.63673,2.23279,0.01274,0.000216818,0.000216818,0.000216818
57,1880.2,1.38187,1.8452,0.00959,0.57723,0.50682,0.51861,0.3532,1.64315,2.16558,0.01278,0.000212106,0.000212106,0.000212106
58,1912.88,1.41691,1.81978,0.00986,0.51485,0.49733,0.50148,0.34831,1.67074,2.20831,0.01327,0.000207393,0.000207393,0.000207393
59,1945.86,1.41466,1.8911,0.00951,0.44768,0.50381,0.49242,0.32736,1.62457,2.15249,0.01295,0.000202681,0.000202681,0.000202681
60,1978.42,1.40915,1.8076,0.0097,0.49669,0.53954,0.50674,0.34831,1.65874,2.16148,0.01339,0.000197968,0.000197968,0.000197968
61,2011.7,1.40925,1.74936,0.00907,0.55829,0.49868,0.50739,0.34948,1.64679,2.15154,0.01346,0.000193256,0.000193256,0.000193256
62,2044.04,1.40858,1.81046,0.00955,0.53608,0.5138,0.52246,0.364,1.64395,2.13578,0.01326,0.000188544,0.000188544,0.000188544
63,2076.94,1.42931,1.8055,0.00948,0.5094,0.51491,0.50831,0.3503,1.69109,2.1543,0.01366,0.000183831,0.000183831,0.000183831
64,2109.82,1.37596,1.73624,0.00927,0.52601,0.51376,0.51545,0.35591,1.67731,2.15569,0.01329,0.000179119,0.000179119,0.000179119
65,2142.51,1.41427,1.74543,0.00916,0.61126,0.46507,0.51782,0.35234,1.66738,2.16282,0.01358,0.000174406,0.000174406,0.000174406
66,2175.29,1.40054,1.74276,0.00877,0.52737,0.51064,0.52648,0.3626,1.66909,2.13745,0.0135,0.000169694,0.000169694,0.000169694
67,2206.43,1.3823,1.70013,0.00865,0.58717,0.50166,0.51876,0.34736,1.67274,2.13112,0.01357,0.000164982,0.000164982,0.000164982
68,2240.32,1.34426,1.73668,0.00909,0.52357,0.49607,0.5052,0.3349,1.70128,2.14652,0.01432,0.000160269,0.000160269,0.000160269
69,2272.65,1.42315,1.68808,0.0089,0.54912,0.51031,0.52788,0.36453,1.67163,2.17206,0.01279,0.000155557,0.000155557,0.000155557
70,2305.44,1.3669,1.68735,0.00913,0.62094,0.46941,0.52681,0.36132,1.67281,2.13693,0.01312,0.000150844,0.000150844,0.000150844
71,2338.52,1.36345,1.66943,0.00898,0.52617,0.53261,0.52724,0.35673,1.63828,2.10099,0.01309,0.000146132,0.000146132,0.000146132
72,2371.27,1.37207,1.66539,0.00912,0.49287,0.50995,0.50508,0.34638,1.65431,2.10954,0.01338,0.00014142,0.00014142,0.00014142
73,2403.92,1.38402,1.65887,0.00892,0.49947,0.52351,0.52529,0.36813,1.67688,2.11533,0.0133,0.000136707,0.000136707,0.000136707
74,2435.84,1.35316,1.68722,0.00895,0.60726,0.50084,0.54029,0.37904,1.65384,2.07797,0.01306,0.000131995,0.000131995,0.000131995
75,2468.08,1.3748,1.68981,0.00856,0.58397,0.50762,0.53164,0.37938,1.66411,2.05248,0.01269,0.000127282,0.000127282,0.000127282
