epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,27767.1,0.45738,0.42855,0.07956,0.63949,0.61022,0.61076,0.3774,0.62763,0.6464,0.22511,4.775e-05,4.775e-05,4.775e-05
40,28480.8,0.43546,0.41932,0.07298,0.67189,0.63665,0.62349,0.39565,0.60398,0.64586,0.20059,4.6375e-05,4.6375e-05,4.6375e-05
41,29196,0.43543,0.41737,0.07071,0.65094,0.62101,0.63804,0.42137,0.5956,0.64758,0.22338,4.5e-05,4.5e-05,4.5e-05
42,29911.5,0.4287,0.41316,0.07375,0.63003,0.6427,0.63357,0.41626,0.60212,0.65282,0.21262,4.3625e-05,4.3625e-05,4.3625e-05
43,30626.2,0.40146,0.41219,0.06646,0.65404,0.63864,0.63371,0.40876,0.60017,0.67968,0.19682,4.225e-05,4.225e-05,4.225e-05
44,31341.2,0.41149,0.40702,0.06871,0.61411,0.62261,0.61753,0.40537,0.62197,0.66942,0.21268,4.0875e-05,4.0875e-05,4.0875e-05
45,32057.5,0.41986,0.40802,0.07109,0.6219,0.62823,0.63706,0.41267,0.62202,0.64513,0.22457,3.95e-05,3.95e-05,3.95e-05
46,32772.2,0.4118,0.41201,0.06973,0.64953,0.63328,0.60896,0.4072,0.60565,0.66802,0.21062,3.8125e-05,3.8125e-05,3.8125e-05
47,33486.5,0.41287,0.40546,0.06955,0.64809,0.62863,0.63974,0.42068,0.60981,0.65717,0.22432,3.675e-05,3.675e-05,3.675e-05
48,34201.2,0.41942,0.40189,0.07201,0.66802,0.64484,0.63545,0.41987,0.62451,0.63008,0.22421,3.5375e-05,3.5375e-05,3.5375e-05
49,34919.3,0.40235,0.39914,0.06658,0.63573,0.6092,0.61311,0.40796,0.6269,0.65222,0.23716,3.4e-05,3.4e-05,3.4e-05
50,35634.6,0.39021,0.40295,0.06525,0.63984,0.63764,0.63352,0.41103,0.61735,0.63987,0.23178,3.2625e-05,3.2625e-05,3.2625e-05
51,36348.7,0.38547,0.39682,0.06663,0.68415,0.62369,0.63862,0.41715,0.6147,0.64218,0.22127,3.125e-05,3.125e-05,3.125e-05
52,37061.7,0.40599,0.38454,0.07327,0.64613,0.61802,0.63363,0.4143,0.60727,0.65589,0.221,2.9875e-05,2.9875e-05,2.9875e-05
53,37774.7,0.4019,0.39374,0.06749,0.65588,0.61119,0.62901,0.40088,0.627,0.63193,0.23505,2.85e-05,2.85e-05,2.85e-05
54,38486.6,0.39419,0.38854,0.06303,0.62924,0.63494,0.63334,0.41597,0.60122,0.68319,0.2081,2.7125e-05,2.7125e-05,2.7125e-05
55,39200.2,0.3862,0.38498,0.06662,0.56615,0.64292,0.63199,0.41884,0.63036,0.66904,0.21761,2.575e-05,2.575e-05,2.575e-05
56,39913.2,0.38061,0.38529,0.06308,0.63138,0.61732,0.61469,0.41095,0.62189,0.65612,0.22817,2.4375e-05,2.4375e-05,2.4375e-05
57,40626.4,0.35364,0.38352,0.06023,0.58793,0.63264,0.60826,0.40046,0.61358,0.66452,0.22495,2.3e-05,2.3e-05,2.3e-05
58,41340.3,0.37347,0.38084,0.06037,0.67791,0.6116,0.6234,0.40717,0.62044,0.63824,0.23193,2.1625e-05,2.1625e-05,2.1625e-05
59,42055.8,0.37154,0.37567,0.06079,0.65875,0.63257,0.62794,0.42754,0.61825,0.634,0.23624,2.025e-05,2.025e-05,2.025e-05
60,42769.6,0.3635,0.37945,0.05935,0.6797,0.63977,0.65011,0.43236,0.61378,0.64563,0.2112,1.8875e-05,1.8875e-05,1.8875e-05
