epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,228.964,1.30418,4.0619,0.41581,0.43645,0.26721,0.20314,0.13541,0.85531,1.01907,0.3097,0.000158177,0.000158177,0.000158177
2,441.061,0.88747,0.64202,0.16673,0.37871,0.45861,0.37038,0.23641,0.82478,0.88153,0.26108,0.000312487,0.000312487,0.000312487
3,652.337,0.81477,0.60999,0.14543,0.52796,0.44828,0.43914,0.26731,0.84552,0.85326,0.23322,0.000462434,0.000462434,0.000462434
4,862.222,0.80732,0.58449,0.13154,0.60294,0.49805,0.49453,0.31113,0.77772,0.71928,0.25381,0.000456365,0.000456365,0.000456365
5,1071.44,0.75822,0.56399,0.12573,0.50177,0.48277,0.47154,0.30174,0.78694,0.77959,0.23027,0.00044982,0.00044982,0.00044982
6,1280.01,0.72125,0.56697,0.1228,0.52599,0.5538,0.53964,0.34134,0.75326,0.67208,0.24244,0.000443275,0.000443275,0.000443275
7,1490.21,0.7123,0.56335,0.11869,0.60906,0.45699,0.48346,0.31994,0.82511,0.70508,0.28442,0.00043673,0.00043673,0.00043673
8,1701.5,0.68795,0.54056,0.11058,0.60484,0.50022,0.51664,0.35828,0.7648,0.72317,0.24779,0.000430185,0.000430185,0.000430185
9,1911.73,0.69743,0.52801,0.11824,0.62656,0.5544,0.57435,0.37787,0.7714,0.63437,0.22949,0.00042364,0.00042364,0.00042364
10,2121.07,0.66135,0.51618,0.10726,0.53682,0.56186,0.54857,0.362,0.76636,0.6682,0.23368,0.000417095,0.000417095,0.000417095
11,2329.68,0.63912,0.52195,0.10365,0.4478,0.60081,0.51653,0.34265,0.75284,0.69829,0.21941,0.00041055,0.00041055,0.00041055
12,2539.52,0.59931,0.5224,0.09358,0.54666,0.55304,0.56204,0.36259,0.78991,0.68668,0.25049,0.000404005,0.000404005,0.000404005
13,2748.59,0.5799,0.50642,0.09,0.57081,0.56734,0.57131,0.37382,0.76681,0.65722,0.24748,0.00039746,0.00039746,0.00039746
14,2957.89,0.58715,0.49703,0.09893,0.63133,0.59003,0.60139,0.42052,0.77247,0.62281,0.24332,0.000390915,0.000390915,0.000390915
15,3167.18,0.57618,0.51436,0.09537,0.5587,0.60198,0.56308,0.36201,0.76901,0.64891,0.28013,0.00038437,0.00038437,0.00038437
16,3375.27,0.57609,0.49848,0.09814,0.65909,0.57819,0.59863,0.41954,0.79686,0.64799,0.2317,0.000377825,0.000377825,0.000377825
17,3583.79,0.57065,0.48927,0.09031,0.52936,0.65171,0.61343,0.39722,0.80464,0.60294,0.23349,0.00037128,0.00037128,0.00037128
18,3792.22,0.55097,0.47288,0.084,0.58656,0.61066,0.61233,0.39981,0.77064,0.62474,0.24553,0.000364735,0.000364735,0.000364735
19,4001,0.56087,0.47177,0.08588,0.71069,0.57284,0.60497,0.39041,0.79407,0.61059,0.23848,0.00035819,0.00035819,0.00035819
20,4208.95,0.52977,0.46689,0.08679,0.66462,0.56273,0.59666,0.40698,0.75397,0.61842,0.22377,0.000351645,0.000351645,0.000351645
21,4416.85,0.55515,0.4701,0.08994,0.63298,0.58061,0.60039,0.40529,0.72627,0.62655,0.22152,0.0003451,0.0003451,0.0003451
22,4625.21,0.52486,0.46235,0.08124,0.61772,0.58461,0.58927,0.3832,0.80087,0.65006,0.23007,0.000338555,0.000338555,0.000338555
23,4833.09,0.53241,0.46423,0.0874,0.60434,0.61645,0.60502,0.39642,0.75476,0.63963,0.25069,0.00033201,0.00033201,0.00033201
24,5040.53,0.52862,0.45815,0.08089,0.52091,0.62808,0.57819,0.36845,0.79861,0.60662,0.23101,0.000325465,0.000325465,0.000325465
25,5248.64,0.4864,0.45517,0.07487,0.58048,0.58129,0.58616,0.37557,0.79271,0.6329,0.2488,0.00031892,0.00031892,0.00031892
26,5460.59,0.4772,0.45822,0.07616,0.57927,0.58504,0.57173,0.38376,0.79695,0.64654,0.26176,0.000312375,0.000312375,0.000312375
27,5671.66,0.48882,0.45226,0.0746,0.54929,0.60526,0.59089,0.40023,0.80775,0.61369,0.24601,0.00030583,0.00030583,0.00030583
28,5881.25,0.48027,0.44998,0.07446,0.68125,0.59729,0.59577,0.39707,0.801,0.63637,0.2649,0.000299285,0.000299285,0.000299285
29,6090.71,0.48439,0.44449,0.07761,0.66506,0.53583,0.5836,0.38934,0.80337,0.60899,0.25558,0.00029274,0.00029274,0.00029274
30,6300.51,0.48275,0.44358,0.08297,0.65079,0.63123,0.61768,0.39568,0.78175,0.62831,0.24235,0.000286195,0.000286195,0.000286195
31,6509.68,0.47997,0.44036,0.07384,0.63367,0.59978,0.62452,0.40537,0.78106,0.62426,0.25027,0.00027965,0.00027965,0.00027965
32,6719.93,0.46035,0.43739,0.07217,0.58752,0.65455,0.62394,0.41191,0.77246,0.62851,0.24199,0.000273105,0.000273105,0.000273105
33,6929.7,0.44429,0.4164,0.07029,0.60975,0.66921,0.63449,0.41185,0.75869,0.62966,0.24582,0.00026656,0.00026656,0.00026656
34,7139,0.4512,0.41639,0.06668,0.60641,0.59868,0.58664,0.38423,0.76443,0.67023,0.24804,0.000260015,0.000260015,0.000260015
35,7349.04,0.44885,0.41089,0.07034,0.68032,0.61256,0.636,0.42232,0.78511,0.58338,0.26166,0.00025347,0.00025347,0.00025347
36,7559.97,0.44983,0.41849,0.06843,0.68215,0.63368,0.64103,0.41746,0.78724,0.60294,0.255,0.000246925,0.000246925,0.000246925
37,7770.53,0.41266,0.41311,0.06406,0.57415,0.6269,0.57286,0.38839,0.75745,0.65783,0.2491,0.00024038,0.00024038,0.00024038
38,7981.83,0.4336,0.42241,0.067,0.64067,0.58248,0.58422,0.37897,0.79097,0.64807,0.25422,0.000233835,0.000233835,0.000233835
39,8192.19,0.43963,0.4085,0.0688,0.6134,0.63609,0.61878,0.40856,0.76806,0.62751,0.25406,0.00022729,0.00022729,0.00022729
40,8401.87,0.41491,0.40162,0.06342,0.67159,0.61016,0.60965,0.39494,0.81552,0.6039,0.26094,0.000220745,0.000220745,0.000220745
41,8611.64,0.43043,0.40077,0.06622,0.6268,0.60278,0.59408,0.39745,0.78879,0.64858,0.23616,0.0002142,0.0002142,0.0002142
42,8822.38,0.4101,0.39695,0.06259,0.64326,0.65385,0.61913,0.40562,0.79451,0.64926,0.24053,0.000207655,0.000207655,0.000207655
43,9033.5,0.39642,0.39437,0.06406,0.61107,0.65101,0.6151,0.40099,0.78438,0.62805,0.26025,0.00020111,0.00020111,0.00020111
44,9244.61,0.41857,0.39116,0.0612,0.66858,0.61942,0.61575,0.40219,0.76418,0.64582,0.24545,0.000194565,0.000194565,0.000194565
45,9455.59,0.38813,0.38864,0.05956,0.64598,0.62006,0.61008,0.41135,0.75277,0.65325,0.25267,0.00018802,0.00018802,0.00018802
46,9666.49,0.39985,0.39033,0.06385,0.62644,0.63832,0.61449,0.40747,0.77387,0.63531,0.25003,0.000181475,0.000181475,0.000181475
47,9877.6,0.40581,0.38081,0.06165,0.65371,0.6304,0.61856,0.414,0.77189,0.6293,0.26999,0.00017493,0.00017493,0.00017493
48,10088.6,0.39405,0.38003,0.05858,0.6141,0.6585,0.6203,0.41375,0.77666,0.63848,0.25348,0.000168385,0.000168385,0.000168385
49,10299.5,0.40299,0.3769,0.06115,0.63613,0.61822,0.60473,0.40402,0.77036,0.64295,0.26941,0.00016184,0.00016184,0.00016184
50,10510.8,0.39193,0.37815,0.06257,0.60315,0.6449,0.60321,0.40656,0.76803,0.67036,0.25662,0.000155295,0.000155295,0.000155295
51,10722.4,0.38027,0.376,0.05957,0.59653,0.61018,0.57937,0.38678,0.75563,0.66332,0.26449,0.00014875,0.00014875,0.00014875
52,10934.3,0.37245,0.37444,0.05682,0.65699,0.63056,0.62083,0.42092,0.79046,0.6358,0.26389,0.000142205,0.000142205,0.000142205
53,11146,0.37312,0.37052,0.0545,0.63485,0.65347,0.64334,0.43584,0.7865,0.62514,0.27094,0.00013566,0.00013566,0.00013566
54,11357.3,0.36545,0.37222,0.05282,0.67696,0.60586,0.60737,0.40196,0.78485,0.64823,0.26347,0.000129115,0.000129115,0.000129115
55,11568.1,0.36925,0.35927,0.05341,0.62004,0.61187,0.59169,0.39474,0.80713,0.63392,0.29837,0.00012257,0.00012257,0.00012257
56,11779.8,0.35774,0.36333,0.05138,0.67306,0.62326,0.6106,0.40196,0.78388,0.64856,0.28565,0.000116025,0.000116025,0.000116025
57,11991.6,0.34593,0.35922,0.0515,0.59407,0.63362,0.59479,0.40061,0.8084,0.63731,0.30819,0.00010948,0.00010948,0.00010948
