epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1512.28,1.53069,1.661,0.01098,0.51942,0.60608,0.57085,0.3488,1.76452,2.04303,0.01388,0.000306116,0.000306116,0.000306116
43,1548.49,1.50732,1.6462,0.01005,0.64376,0.53361,0.56472,0.35611,1.77101,1.97411,0.01486,0.000298976,0.000298976,0.000298976
44,1584.28,1.50867,1.65805,0.01036,0.50743,0.51745,0.52642,0.35273,1.72436,1.97957,0.01447,0.000291779,0.000291779,0.000291779
45,1620.15,1.51311,1.67987,0.0107,0.52017,0.51007,0.53313,0.33994,1.74178,2.03061,0.01406,0.000284531,0.000284531,0.000284531
46,1655.81,1.49021,1.59665,0.00968,0.55108,0.52785,0.52792,0.33117,1.75716,2.00932,0.01375,0.000277239,0.000277239,0.000277239
47,1691.79,1.49352,1.59278,0.00974,0.49339,0.53336,0.53095,0.34809,1.79981,2.0413,0.01468,0.000269911,0.000269911,0.000269911
48,1727.6,1.42904,1.54688,0.00979,0.50289,0.54056,0.53449,0.349,1.77618,2.00675,0.01461,0.000262554,0.000262554,0.000262554
49,1762.86,1.49858,1.5465,0.00987,0.51082,0.54844,0.55458,0.35708,1.75103,1.94929,0.01386,0.000255175,0.000255175,0.000255175
50,1799.01,1.44589,1.5309,0.0095,0.60783,0.53311,0.56311,0.36737,1.75719,1.95042,0.01373,0.000247781,0.000247781,0.000247781
51,1834.77,1.46198,1.48325,0.00976,0.53523,0.5653,0.56469,0.36692,1.75501,1.98981,0.01337,0.00024038,0.00024038,0.00024038
52,1870.76,1.46927,1.44777,0.00966,0.51449,0.5512,0.58374,0.38434,1.71636,1.96462,0.01381,0.000232979,0.000232979,0.000232979
53,1906.58,1.37199,1.42102,0.00932,0.52624,0.59805,0.57214,0.37213,1.73468,1.96702,0.01361,0.000225585,0.000225585,0.000225585
54,1942.71,1.45167,1.48771,0.00957,0.66211,0.50178,0.57361,0.38861,1.72334,2.07145,0.01374,0.000218206,0.000218206,0.000218206
55,1978.19,1.45272,1.44922,0.00932,0.50037,0.59247,0.5681,0.38124,1.73718,2.00882,0.01373,0.000210849,0.000210849,0.000210849
56,2013.9,1.41801,1.47163,0.00932,0.51548,0.55736,0.55196,0.3778,1.73636,2.05971,0.01505,0.000203521,0.000203521,0.000203521
57,2049.19,1.36701,1.37935,0.00904,0.56551,0.55685,0.59437,0.39638,1.70816,1.93782,0.01332,0.000196229,0.000196229,0.000196229
58,2085.55,1.3716,1.37793,0.00897,0.53055,0.56836,0.56707,0.39363,1.68442,1.95801,0.01332,0.000188981,0.000188981,0.000188981
59,2121.39,1.41576,1.41969,0.009,0.58183,0.57701,0.58511,0.38479,1.67741,2.0391,0.01341,0.000181784,0.000181784,0.000181784
60,2156.98,1.36629,1.38457,0.00873,0.59712,0.5691,0.58041,0.38788,1.72772,1.98828,0.01326,0.000174644,0.000174644,0.000174644
61,2192.99,1.36703,1.30394,0.00823,0.62026,0.5698,0.59565,0.39902,1.70325,1.95212,0.01307,0.000167569,0.000167569,0.000167569
62,2228.82,1.3509,1.33782,0.00859,0.58609,0.56951,0.61073,0.41996,1.75051,1.92963,0.01366,0.000160567,0.000160567,0.000160567
63,2263.93,1.38308,1.34446,0.00839,0.57687,0.56035,0.59032,0.40176,1.70458,1.94413,0.01329,0.000153642,0.000153642,0.000153642
64,2300.52,1.32445,1.2747,0.00835,0.67865,0.54771,0.60403,0.41067,1.73705,1.90831,0.01316,0.000146804,0.000146804,0.000146804
65,2336.5,1.34441,1.30147,0.00827,0.53276,0.62746,0.60656,0.41383,1.67671,1.87316,0.01249,0.000140058,0.000140058,0.000140058
66,2372.08,1.35634,1.28028,0.00792,0.59853,0.58756,0.59506,0.40644,1.71467,1.88846,0.0124,0.000133411,0.000133411,0.000133411
67,2407.53,1.30499,1.19875,0.00782,0.61873,0.54276,0.58994,0.41233,1.69804,1.87404,0.0127,0.000126869,0.000126869,0.000126869
68,2443.45,1.28373,1.25953,0.0082,0.56917,0.57281,0.59417,0.40453,1.68808,1.88302,0.01257,0.00012044,0.00012044,0.00012044
69,2479.16,1.34664,1.24401,0.00783,0.58329,0.58207,0.59744,0.40142,1.69252,1.89837,0.01289,0.000114128,0.000114128,0.000114128
70,2514.93,1.28902,1.19883,0.00785,0.51795,0.5955,0.5815,0.39464,1.7009,1.89677,0.01247,0.000107942,0.000107942,0.000107942
71,2550.19,1.28017,1.17671,0.00771,0.5604,0.57461,0.59299,0.40827,1.70377,1.90301,0.01288,0.000101886,0.000101886,0.000101886
72,2586.51,1.28823,1.19173,0.00786,0.60528,0.53455,0.57907,0.40027,1.70136,1.96416,0.01359,9.59668e-05,9.59668e-05,9.59668e-05
73,2622.36,1.29134,1.17376,0.00768,0.55568,0.60258,0.59071,0.39771,1.69129,1.98122,0.01204,9.01902e-05,9.01902e-05,9.01902e-05
74,2657.89,1.26606,1.20738,0.00766,0.57014,0.55236,0.57426,0.3935,1.71838,1.91789,0.01321,8.45617e-05,8.45617e-05,8.45617e-05
75,2693.84,1.30319,1.21199,0.0075,0.55639,0.59264,0.58204,0.40233,1.69749,1.94643,0.01305,7.9087e-05,7.9087e-05,7.9087e-05
76,2729.37,1.29489,1.16893,0.00754,0.60066,0.61382,0.60235,0.40426,1.70054,1.90378,0.01291,7.37715e-05,7.37715e-05,7.37715e-05
77,2766.14,1.27934,1.15709,0.00724,0.55873,0.61241,0.60376,0.41624,1.72809,1.93021,0.01297,6.86204e-05,6.86204e-05,6.86204e-05
78,2803.47,1.26202,1.17632,0.00753,0.60761,0.54061,0.59384,0.41177,1.68905,1.92791,0.01297,6.36388e-05,6.36388e-05,6.36388e-05
79,2842.26,1.24947,1.14314,0.00739,0.56988,0.59089,0.59479,0.40809,1.6932,1.89743,0.01261,5.88317e-05,5.88317e-05,5.88317e-05
80,2880.25,1.23995,1.14192,0.00753,0.57425,0.59122,0.59422,0.41058,1.71194,1.89432,0.01278,5.42037e-05,5.42037e-05,5.42037e-05
81,2917.87,1.29244,1.15621,0.00748,0.56505,0.59566,0.59848,0.41203,1.70071,1.90999,0.01235,4.97594e-05,4.97594e-05,4.97594e-05
82,2955.68,1.24408,1.12453,0.0072,0.61405,0.57949,0.60984,0.41847,1.67223,1.90442,0.01252,4.55033e-05,4.55033e-05,4.55033e-05
83,2991.37,1.26186,1.16321,0.00759,0.57372,0.5883,0.59253,0.41005,1.69782,1.89457,0.01266,4.14395e-05,4.14395e-05,4.14395e-05
84,3026.68,1.22362,1.11148,0.00732,0.5277,0.59563,0.58943,0.40671,1.70051,1.92032,0.01255,3.7572e-05,3.7572e-05,3.7572e-05
85,3063.22,1.21826,1.13739,0.00716,0.51142,0.61846,0.59106,0.41362,1.70294,1.89441,0.01267,3.39046e-05,3.39046e-05,3.39046e-05
86,3099.17,1.22341,1.0816,0.00723,0.52529,0.60945,0.58413,0.41173,1.71103,1.87934,0.01295,3.0441e-05,3.0441e-05,3.0441e-05
